Date,PE Ratio
11/5/2020,60.3
8/5/2020,58.41
7/5/2020,56.98
6/5/2020,55.66
5/5/2020,54.9
4/5/2020,54.45
1/5/2020,52.86
30/4/2020,54.63
29/4/2020,66.03
28/4/2020,64.46
27/4/2020,65.73
24/4/2020,64.07
23/4/2020,62.83
22/4/2020,63.31
21/4/2020,59.63
20/4/2020,63.51
17/4/2020,64.67
16/4/2020,65.2
15/4/2020,62.13
14/4/2020,62.82
13/4/2020,59.7
9/4/2020,58.17
8/4/2020,59.06
7/4/2020,57.31
6/4/2020,59.38
3/4/2020,53.96
2/4/2020,56.52
1/4/2020,53.78
31/3/2020,58.32
30/3/2020,58.76
27/3/2020,55.91
26/3/2020,56.91
25/3/2020,54.34
24/3/2020,55.13
23/3/2020,47.06
20/3/2020,45.52
19/3/2020,47.12
18/3/2020,44.87
17/3/2020,48.07
16/3/2020,43.45
13/3/2020,53.28
12/3/2020,47.86
11/3/2020,54.53
10/3/2020,57.76
9/3/2020,54.3
6/3/2020,58.86
5/3/2020,60.46
4/3/2020,62.94
3/3/2020,58.83
2/3/2020,61.16
28/2/2020,59.75
27/2/2020,55.88
26/2/2020,59.21
25/2/2020,57.98
24/2/2020,60.46
21/2/2020,65.06
20/2/2020,68.3
19/2/2020,69.62
18/2/2020,65.61
14/2/2020,64.11
13/2/2020,59.91
12/2/2020,60.3
11/2/2020,59.27
10/2/2020,58.18
7/2/2020,55.66
6/2/2020,56.25
5/2/2020,55.48
4/2/2020,54.67
3/2/2020,53.17
31/1/2020,52.31
30/1/2020,62.87
29/1/2020,62.8
28/1/2020,63.42
27/1/2020,61.43
24/1/2020,64.06
23/1/2020,64.67
22/1/2020,63.95
21/1/2020,63.41
17/1/2020,63.75
16/1/2020,63.66
15/1/2020,62.81
14/1/2020,63.24
13/1/2020,64.44
10/1/2020,62.49
9/1/2020,62.15
8/1/2020,61.48
7/1/2020,61.36
6/1/2020,60.63
3/1/2020,60.38
2/1/2020,61.36
31/12/2019,60.18
30/12/2019,59.42
27/12/2019,60.58
26/12/2019,61.17
24/12/2019,61.03
23/12/2019,61.08
20/12/2019,61.22
19/12/2019,60.22
18/12/2019,58.7
17/12/2019,58.39
16/12/2019,57.58
13/12/2019,57.29
12/12/2019,57.31
11/12/2019,55.59
10/12/2019,54.73
9/12/2019,54.26
6/12/2019,54.26
5/12/2019,53.39
4/12/2019,53.56
3/12/2019,53.11
2/12/2019,53.52
29/11/2019,55.43
27/11/2019,55.82
26/11/2019,55.5
25/11/2019,56.58
22/11/2019,53.94
21/11/2019,53.75
20/11/2019,54.01
19/11/2019,53.19
18/11/2019,54.29
15/11/2019,52.22
14/11/2019,53.65
13/11/2019,53.34
12/11/2019,53.61
11/11/2019,53.24
8/11/2019,53.14
7/11/2019,53.28
6/11/2019,53.1
5/11/2019,53.61
4/11/2019,53.84
1/11/2019,51.81
